Date,Open,High,Low,Close,Volume
08/19/2004,50.050049,52.082081,48.028027,50.220219,"44,659,000.00 "
08/20/2004,50.555557,54.594593,50.300301,54.209209,"22,834,300.00 "
08/23/2004,55.430431,56.796795,54.579578,54.754753,"18,256,100.00 "
08/24/2004,55.675674,55.855854,51.836838,52.487488,"15,247,300.00 "
08/25/2004,52.532532,54.054054,51.991993,53.053055,"9,188,600.00 "
08/26/2004,52.527527,54.02903,52.382381,54.00901,"7,094,800.00 "
08/27/2004,54.104103,54.364365,52.8979,53.128128,"6,211,700.00 "
08/30/2004,52.692692,52.797798,51.056057,51.056057,"5,196,700.00 "
08/31/2004,51.201202,51.906906,51.13113,51.236237,"4,917,800.00 "
09/01/2004,51.401402,51.536537,49.884884,50.175175,"9,138,200.00 "
09/02/2004,49.644646,51.236237,49.51952,50.805805,"15,118,600.00 "
09/03/2004,50.525524,50.920921,49.709709,50.055054,"5,152,400.00 "
09/07/2004,50.555557,51.051052,49.854855,50.840839,"5,847,500.00 "
09/08/2004,50.420422,51.566566,50.300301,51.201202,"4,985,600.00 "
09/09/2004,51.316315,51.406406,50.550552,51.206207,"4,061,700.00 "
09/10/2004,50.850849,53.333332,50.700699,52.717716,"8,698,800.00 "
09/13/2004,53.36837,54.259258,53.283283,53.803802,"7,844,100.00 "
09/14/2004,53.778778,56.056057,53.448448,55.8008,"10,828,900.00 "
09/15/2004,55.335335,57.172173,55.155155,56.056057,"10,713,000.00 "
09/16/2004,56.226227,57.957958,55.880882,57.042042,"9,266,300.00 "
09/17/2004,57.267269,58.803802,56.831833,58.803802,"9,472,500.00 "
09/20/2004,58.533535,60.860863,58.443443,59.739738,"10,628,700.00 "
09/21/2004,59.964966,60.270271,58.813812,58.978977,"7,228,700.00 "
09/22/2004,58.758759,59.894894,58.463463,59.249249,"7,581,200.00 "
09/23/2004,59.479481,61.376377,58.568569,60.47047,"8,535,600.00 "
09/24/2004,60.530529,62.112114,59.939941,59.974976,"9,123,400.00 "
09/27/2004,59.83984,60.5005,58.958958,59.18919,"7,066,100.00 "
09/28/2004,60.710712,63.763763,60.165165,63.493492,"16,929,000.00 "
09/29/2004,63.413414,67.577576,63.178177,65.605606,"30,516,400.00 "
09/30/2004,65.015015,66.216217,64.564568,64.864868,"13,758,000.00 "
10/01/2004,65.465462,67.187187,64.514511,66.356354,"15,124,800.00 "
10/04/2004,67.692696,68.503502,67.082085,67.597595,"13,022,700.00 "
10/05/2004,67.3974,69.334335,66.186188,69.254257,"14,973,200.00 "
10/06/2004,68.843842,69.294296,68.068069,68.608612,"13,381,400.00 "
10/07/2004,68.528526,70.01001,68.343346,69.494492,"14,115,000.00 "
10/08/2004,69.429428,69.909912,68.578575,68.933937,"11,069,500.00 "
10/11/2004,68.568565,69.499496,66.991989,67.697701,"10,472,100.00 "
10/12/2004,67.287285,68.873871,66.766769,68.768768,"11,665,500.00 "
10/13/2004,71.731735,71.846848,70.110107,70.520523,"19,766,200.00 "
10/14/2004,70.575577,71.261261,69.34935,71.071068,"10,442,100.00 "
10/15/2004,72.537537,72.822823,71.046043,72.127129,"13,194,700.00 "
10/18/2004,71.671669,74.674675,70.675674,74.654655,"14,036,300.00 "
10/19/2004,75.325325,76.276276,73.748749,74.044044,"18,109,800.00 "
10/20/2004,74.089088,74.569572,69.869873,70.315315,"22,722,600.00 "
10/21/2004,72.27227,75.140137,70.880882,74.764763,"29,149,800.00 "
10/22/2004,85.355354,90.175179,82.122124,86.3013,"73,710,000.00 "
10/25/2004,88.288292,97.312309,86.361359,93.793793,"65,462,800.00 "
10/26/2004,93.26326,96.41642,90.090088,90.99099,"44,569,500.00 "
10/27/2004,91.451454,94.854858,90.975975,93.078079,"26,686,200.00 "
10/28/2004,93.433434,97.29229,92.892891,96.74675,"29,663,900.00 "
10/29/2004,99.544548,100.075073,95.395393,95.415413,"42,282,600.00 "
11/01/2004,96.871872,98.933937,95.730728,98.113113,"24,425,300.00 "
11/02/2004,99.489487,99.724724,96.766769,97.532532,"22,669,900.00 "
11/03/2004,99.189186,100.900902,95.470474,95.930931,"27,749,600.00 "
11/04/2004,94.314316,95.295296,91.766769,92.442444,"28,790,300.00 "
11/05/2004,91.081078,91.241241,84.35936,84.759758,"39,626,500.00 "
11/08/2004,85.550552,87.807808,84.784782,86.361359,"22,361,200.00 "
